epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,167.331,2.41031,1.93098,3.33972,0,0,0,0,2.88361,4.13353,4.25059,0.000614,0.000614,0.000614
72,170.226,2.40169,1.87114,3.3382,0,0,0,0,2.88361,4.13353,4.25059,0.0005942,0.0005942,0.0005942
73,173.113,2.3986,1.92929,3.41437,0,0,0,0,2.88361,4.13353,4.25059,0.0005744,0.0005744,0.0005744
74,176.425,2.48617,2.01832,3.37633,0,0,0,0,2.88361,4.13353,4.25059,0.0005546,0.0005546,0.0005546
75,179.256,2.37373,1.93747,3.47343,0,0,0,0,2.85631,3.93386,4.15682,0.0005348,0.0005348,0.0005348
76,182.099,2.3247,1.98558,3.43114,0,0,0,0,2.85631,3.93386,4.15682,0.000515,0.000515,0.000515
77,185.184,2.37533,1.89506,3.31556,0,0,0,0,2.85631,3.93386,4.15682,0.0004952,0.0004952,0.0004952
78,188.004,2.46246,2.1013,3.29256,0,0,0,0,2.85631,3.93386,4.15682,0.0004754,0.0004754,0.0004754
79,190.326,2.28389,1.9823,3.48797,0,0,0,0,2.85631,3.93386,4.15682,0.0004556,0.0004556,0.0004556
80,192.735,2.4133,1.88237,3.32691,0,0,0,0,2.85631,3.93386,4.15682,0.0004358,0.0004358,0.0004358
81,195.39,2.35121,1.97115,3.42342,0,0,0,0,2.85631,3.93386,4.15682,0.000416,0.000416,0.000416
82,198.097,2.34578,1.95065,3.40524,0,0,0,0,2.85631,3.93386,4.15682,0.0003962,0.0003962,0.0003962
83,200.843,2.33773,1.87311,3.38091,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0003764,0.0003764,0.0003764
84,203.792,2.33176,1.88378,3.22454,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0003566,0.0003566,0.0003566
85,206.488,2.29103,2.09275,3.3488,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0003368,0.0003368,0.0003368
86,209.242,2.37169,1.8911,3.35649,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.000317,0.000317,0.000317
87,212.08,2.33347,1.88494,3.29613,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0002972,0.0002972,0.0002972
88,215.037,2.36329,1.94854,3.32941,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0002774,0.0002774,0.0002774
89,217.865,2.21923,1.87333,3.27501,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0002576,0.0002576,0.0002576
90,220.875,2.37614,1.82053,3.26685,0.00333,0.08333,0.00272,0.00027,2.82099,3.61045,4.09812,0.0002378,0.0002378,0.0002378
91,223.526,2.34006,2.14308,3.6281,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,0.000218,0.000218,0.000218
92,225.453,2.25246,2.20367,3.21133,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,0.0001982,0.0001982,0.0001982
93,227.389,2.45314,3.51274,3.14916,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,0.0001784,0.0001784,0.0001784
94,229.295,2.28042,2.01042,3.45042,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,0.0001586,0.0001586,0.0001586
95,231.196,2.21988,1.95495,3.21153,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,0.0001388,0.0001388,0.0001388
96,233.128,2.35688,1.96952,3.50632,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,0.000119,0.000119,0.000119
97,235.108,2.34587,2.05229,3.46412,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,9.92e-05,9.92e-05,9.92e-05
98,237.024,2.20148,2.11688,3.18555,0.02,0.5,0.07196,0.01819,2.71404,3.10426,4.02271,7.94e-05,7.94e-05,7.94e-05
99,238.996,2.26015,1.97055,3.30727,0.26688,0.08333,0.16701,0.0441,2.50186,2.38726,4.0021,5.96e-05,5.96e-05,5.96e-05
100,240.945,2.29784,2.49939,3.56667,0.26688,0.08333,0.16701,0.0441,2.50186,2.38726,4.0021,3.98e-05,3.98e-05,3.98e-05
